id,name,height,width,water,light,humidity,temperature,toxicity,difficulty,leaf_green,leaf_multicolored,leaf_oblong,leaf_oval,leaf_teardrop,leaf_triangular,leaf_spear,leaf_heart,leaf_wavy,leaf_palmate,leaf_split,leaf_round,leaf_ribbon,leaf_pattern,growth_cluster,growth_dense,growth_upright,growth_shrubby,growth_cascading,growth_tree
16,Hindu Rope Plant,0.1282051282051282,0.1206896551724138,0.0,0.0,0.5,0.0,0.5,0.25,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
17,Desert Rose,0.1282051282051282,0.17192711240892627,0.0,1.0,0.0,1.0,0.5,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
18,Pilea,0.02564102564102564,0.017241379310344827,0.5,0.0,0.0,0.0,0.5,0.25,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
19,Money Tree,0.28205128205128205,0.17192711240892627,0.5,0.5,1.0,0.0,0.0,0.25,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
20,Monstera Adansonii,0.38461538461538464,0.17192711240892627,0.5,0.0,0.5,0.0,0.5,0.25,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
21,Snake Plant,0.1282051282051282,0.17192711240892627,0.0,0.0,0.0,0.0,0.5,0.0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
22,Heartleaf Philodendron,1.0,1.0,0.5,0.0,0.5,0.0,0.5,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
23,ZZ Plant,0.23076923076923078,0.3783369834385422,0.0,0.0,0.0,0.0,0.5,0.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
24,Anthurium,0.05128205128205128,0.06872217689411832,0.5,1.0,0.5,1.0,0.5,0.5,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
25,Spider Plant,0.1282051282051282,0.27513204792373425,0.5,1.0,0.5,0.0,0.0,0.25,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0
